Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Brazil,BRA,Agricultural land (sq. km),AG.LND.AGRI.K2,2349000,2281161,2282198,2283235,2284272,2285309,2286346,2287383,2288420,2289510,2347174,2354382,2361590,2368786,2375018.01,2381244.91,2387470.81,2393695.61,..
Brazil,BRA,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1755.1,2580.4,2732,2643.3,3147.6,2844.8,3385.4,3131.8,2882.6,3210.5,4640.4,5000.6,4181.7,5209.6,4806.6,5321.5,5255.7,4478.7,..
Brazil,BRA,Urban population,SP.URB.TOTL,111405219,136457266,139649517,142795391,145337135,147774310,150126745,152434477,154731704,156991180,173941724,175989923,177986118,179958546,181939117,183878366,185636418,187143228,188517733
Brazil,BRA,Methane emissions (% change from 1990),EN.ATM.METH.ZG,..,17.8942560951958,13.1244564843374,7.30391206151189,14.9988425853515,21.4559650648465,31.1037981969357,43.7546531197017,54.0099725348632,27.4138351716415,..,..,..,..,..,..,..,..,..
Italy,ITA,Agricultural land (sq. km),AG.LND.AGRI.K2,168400,154840,157990,156370,155020,152730,149070,148830,147360,142030,131620,129450,128120,128265.7,124050,131209.62,125183.7,124030.309,..
Italy,ITA,Cereal yield (kg per hectare),AG.YLD.CREL.KG,3944.9,5078.2,5047.4,4993.9,4821.4,4959.2,4307.2,5444.4,5361.4,5316.1,5717.5,5402.2,5599,5174.8,5350.8,5336.2,5626.5,5562.8,..
Italy,ITA,Urban population,SP.URB.TOTL,37846480,38185563,38226137,38277624,38333314,38447500,38686985,39006818,39267369,39454178,42109853,42247229,42351339,42462869,42559879,42249963,42224765,42172384,42175051
Italy,ITA,Methane emissions (% change from 1990),EN.ATM.METH.ZG,..,-0.732280776887562,-1.5311325334922,-0.798427737625529,-5.34984745917226,-7.47333450645251,-9.6368913472567,-12.9478435454771,-14.8894264507279,-17.5868231862058,..,..,..,..,..,..,..,..,..
Japan,JPN,Agricultural land (sq. km),AG.LND.AGRI.K2,58320,53760,53210,52580,52130,51750,51400,51100,50800,50534,48700,48460,48130,47780,47460,47150,46820,46590,..
Japan,JPN,Cereal yield (kg per hectare),AG.YLD.CREL.KG,5846.3,5809.5,5998.9,6256.6,6107,6085.5,5451,5942.3,6154,5852.4,6325.1,6316.7,6253.4,6284.5,6404.7,6546.7,6472.9,6787.3,..
Japan,JPN,Urban population,SP.URB.TOTL,95496650,99095072,99434460,99760751,101706485,104055019,106256267,108136910,109856670,111383848,116208079,116182717,116219897,116223820,116179166,116119928,115884871,115459909,115058684
Japan,JPN,Methane emissions (% change from 1990),EN.ATM.METH.ZG,..,-24.0564705882353,-26.0593837535014,-29.0441083099907,-31.0247619047619,-33.9380765639589,-35.1616059757236,-35.8159477124183,-36.8732026143791,-37.3442390289449,..,..,..,..,..,..,..,..,..
Kenya,KEN,Agricultural land (sq. km),AG.LND.AGRI.K2,267700,264580,268760,266710,268390,268180,268740,269920,270020,270540,276540,276660,276770,276880,276990,277100,277100,277100,..
Kenya,KEN,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1561.8,1590,1427.7,1375,1639.6,1488.3,1594,1805.7,1646.1,1646.4,1583.4,1772.7,1383.1,1426,1709.2,1607.9,1842.6,1487.6,..
Kenya,KEN,Urban population,SP.URB.TOTL,3879217,5600786,5858183,6137001,6436071,6749693,7073537,7414140,7768972,8140172,11559254,12021155,12502904,13001604,13502378,14015215,14553419,15102890,15669052
Kenya,KEN,Methane emissions (% change from 1990),EN.ATM.METH.ZG,..,8.17543531634546,13.7972771509966,9.63821632233337,12.6611986636686,15.6891012236584,19.9244254414666,25.879858100894,26.0304167917222,29.8091447183913,..,..,..,..,..,..,..,..,..
Russian Federation,RUS,Agricultural land (sq. km),AG.LND.AGRI.K2,2216310,2172870,2167900,2171620,2168610,2166510,2162770,2159800,2156800,2154880,2154940,2154940,2154940,2154940,2154940,2154940,2154940,2154940,..
Russian Federation,RUS,Cereal yield (kg per hectare),AG.YLD.CREL.KG,..,1298.7,1450.8,1561.4,1934.7,1969.1,1777.4,1876.5,1852.7,1886.9,2444,2391.7,2650.8,2967.1,2615.9,2713.8,2905.4,2705.5,..
Russian Federation,RUS,Urban population,SP.URB.TOTL,108600667,108329810,107987927,107528803,107067910,106569238,106133030,105771342,105433226,105152927,106354644,106703732,107050095,107349517,107539205,107708298,107700434,107492288,107847682
Russian Federation,RUS,Methane emissions (% change from 1990),EN.ATM.METH.ZG,..,-20.2009016087812,-27.1252378445245,-25.4308406533703,-24.7548741124338,-21.7253469849556,-18.4413722248805,-22.0942160372422,-20.8679064720916,-20.7507645431225,..,..,..,..,..,..,..,..,..
Finland,FIN,Agricultural land (sq. km),AG.LND.AGRI.K2,23930,21920,22014,22180,22220,22360,22460,22530,22738,23008,22671,22734,22750,22700,22720,22740,22700,22680,..
Finland,FIN,Cereal yield (kg per hectare),AG.YLD.CREL.KG,3543.1,2402.8,2541.2,3498.7,3164.4,3295,3178,3210.6,3422.9,3293.8,3691.4,3613.9,3573.3,3957.9,3052.7,4257.5,3589.3,2777.3,..
Finland,FIN,Urban population,SP.URB.TOTL,3957581,4210769,4232899,4253964,4273258,4290649,4307931,4327463,4349276,4372951,4651843,4669930,4686120,4699884,4709266,4717991,4728699,4742889,4761190
Finland,FIN,Methane emissions (% change from 1990),EN.ATM.METH.ZG,..,3.03120592733845,2.30320004767297,2.72232485151858,1.93472776751484,-1.54877540075086,-0.394295135371359,0.134080209761045,-3.06596746320243,-2.63869852809726,..,..,..,..,..,..,..,..,..
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/26/2023,,,,,,,,,,,,,,,,,,,,,,
Code,License Type,Indicator Name,Short definition,Long definition,Source,Topic,Unit of measure,Periodicity,Aggregation method,Statistical concept and methodology,Development relevance,Limitations and exceptions,Other notes,License URL
